Types_of_waters,Drowning_reasons,Gender,Age,Region,Is_Holiday,Season,time_period,Drowning_results
溪河,戲水,男,30.0,北部,True,Summer,Noon,獲救
近海(海岸線1公里內),潛水,男,29.0,北部,True,Summer,Evening,死亡
近海(海岸線1公里內),戲水,男,18.0,北部,True,Summer,Night,獲救
近海(海岸線1公里內),戲水,男,18.0,北部,True,Summer,Night,獲救
碼頭,自殺,女,70.0,北部,True,Summer,Night,死亡
溪河,自殺,男,33.0,北部,False,Summer,Morning,獲救
近海(海岸線1公里內),戲水,男,26.0,北部,True,Summer,Morning,獲救
近海(海岸線1公里內),戲水,男,38.0,北部,True,Summer,Morning,獲救
近海(海岸線1公里內),戲水,男,29.0,北部,True,Summer,Morning,獲救
近海(海岸線1公里內),戲水,男,45.0,北部,True,Summer,Noon,獲救
近海(海岸線1公里內),戲水,男,32.0,北部,True,Summer,Noon,獲救
溪河,自殺,男,77.0,北部,True,Summer,Morning,獲救
溪河,失足,女,22.0,北部,True,Summer,Noon,死亡
近海(海岸線1公里內),戲水,男,52.0,北部,True,Summer,Evening,死亡
近海(海岸線1公里內),戲水,女,40.0,北部,True,Summer,Evening,獲救
溪河,自殺,女,55.0,北部,False,Summer,Noon,死亡
溪河,自殺,女,50.0,北部,False,Summer,Dawn,死亡
溪河,戲水,男,20.0,北部,True,Summer,Night,死亡
溪河,戲水,男,19.0,北部,True,Summer,Night,死亡
近海(海岸線1公里內),潛水,男,40.0,北部,True,Summer,Morning,死亡
湖潭,失足,男,78.0,北部,False,Summer,Evening,死亡
溪河,戲水,男,50.0,北部,False,Summer,Noon,死亡
溪河,自殺,女,69.0,北部,True,Summer,Dawn,獲救
溪河,救人,男,34.0,北部,True,Summer,Noon,死亡
溪河,失足,男,27.0,北部,True,Summer,Evening,死亡
溪河,自殺,男,16.0,北部,False,Summer,Night,獲救
溪河,自殺,女,27.0,北部,False,Summer,Dawn,獲救
溪河,自殺,女,40.0,北部,False,Summer,Dawn,死亡
近海(海岸線1公里內),失足,男,53.0,北部,False,Summer,Morning,死亡
溪河,自殺,男,40.0,北部,False,Summer,Night,死亡
溪河,失足,女,40.0,北部,False,Fall,Morning,獲救
溪河,自殺,男,66.0,北部,True,Fall,Dawn,獲救
近海(海岸線1公里內),失足,男,40.0,北部,True,Fall,Evening,死亡
溪河,其他,男,50.0,北部,True,Fall,Night,獲救
溪河,其他,男,50.0,北部,True,Fall,Night,獲救
近海(海岸線1公里內),失足,男,62.0,北部,True,Fall,Dawn,死亡
溪河,自殺,男,60.0,北部,True,Fall,Night,獲救
溪河,失足,女,60.0,北部,False,Fall,Night,獲救
溪河,自殺,女,54.0,北部,False,Fall,Noon,獲救
溪河,失足,女,49.0,北部,False,Fall,Evening,死亡
近海(海岸線1公里內),潛水,男,31.0,北部,True,Fall,Evening,獲救
